id,country,confirmed,active,deaths,recovered,latitude,longitude,last_update
178,US,23603673,23173033,393264,,40.0,-100.0,1610821334000
80,India,10542841,211033,152093,10179715,20.593684,78.96288,1610821334000
24,Brazil,8393492,747171,208246,7438075,-14.235,-51.9253,1610821334000
142,Russia,3507201,537095,64134,2905972,61.524,105.3188,1610821334000
182,United Kingdom,3366988,3270536,88747,7705,55.0,-3.0,1610821334000
63,France,2931646,2646955,70090,213997,46.2276,2.2137,1610821334000
177,Turkey,2380665,102781,23832,2254052,38.9637,35.2433,1610821334000
86,Italy,2368733,557717,81800,1729216,41.8719,12.5674,1610821334000
162,Spain,2252164,2048474,53314,150376,40.463667,-3.74922,1610821334000
67,Germany,2037496,310596,46461,1680439,51.165691,10.451526,1610821334000
38,Colombia,1870179,123854,47868,1698457,4.5709,-74.2973,1610821334000
7,Argentina,1783047,175857,45227,1561963,-38.4161,-63.6167,1610821334000
115,Mexico,1609735,270903,139022,1199810,23.6345,-102.5528,1610821334000
138,Poland,1429612,223312,33213,1173087,51.9194,19.1451,1610821334000
82,Iran,1324395,154454,56717,1113224,32.427908,53.688046,1610821334000
160,South Africa,1311686,212529,36467,1062690,-30.5595,22.9375,1610821334000
180,Ukraine,1192114,282275,21637,888202,48.3794,31.1656,1610821334000
136,Peru,1056023,39297,38654,978072,-9.19,-75.0152,1610821334000
124,Netherlands,919648,894901,13066,11681,52.3167,5.55,1610821334000
81,Indonesia,896642,143517,25767,727358,-0.7893,113.9213,1610821334000
47,Czechia,883906,149847,14215,719844,49.8175,15.473,1610821334000
33,Canada,704469,76292,17779,610398,60.001,-95.001,1610821334000
141,Romania,691488,54266,17164,620058,45.9432,24.9668,1610821334000
17,Belgium,675089,654737,20352,,50.8333,4.469936,1610821334000
36,Chile,665493,25737,17435,622321,-35.6751,-71.543,1610821334000
83,Iraq,607587,26754,12935,567898,33.223191,43.679291,1610821334000
85,Israel,541864,82783,3943,455138,31.046051,34.851612,1610821334000
139,Portugal,539416,128165,8709,402542,39.3999,-8.2245,1610821334000
14,Bangladesh,527063,47424,7883,471756,23.685,90.3563,1610821334000
166,Sweden,523486,513163,10323,,60.1282,18.6435,1610821334000
132,Pakistan,516770,33763,10908,472099,30.3753,69.3451,1610821334000
137,Philippines,498691,28674,9884,460133,12.879721,121.774017,1610821334000
167,Switzerland,495228,168955,8673,317600,46.8182,8.2275,1610821334000
120,Morocco,458865,17017,7911,433937,31.7917,-7.0926,1610821334000
10,Austria,392511,17673,7053,367785,47.5162,14.5501,1610821334000
152,Serbia,371216,367486,3730,,44.0165,21.0059,1610821334000
150,Saudi Arabia,364753,1894,6318,356541,23.885942,45.079162,1610821334000
78,Hungary,350587,111998,11264,227325,47.1625,19.5033,1610821334000
88,Japan,324881,76804,4260,243817,36.204824,138.252924,1610821334000
89,Jordan,313557,12175,4137,297245,31.24,36.51,1610821334000
133,Panama,293592,54608,4689,234295,8.538,-80.7821,1610821334000
123,Nepal,267056,4058,1954,261044,28.1667,84.25,1610821334000
181,United Arab Emirates,249808,26962,740,222106,23.424076,53.847818,1610821334000
98,Lebanon,249158,96212,1866,151080,33.8547,35.8623,1610821334000
66,Georgia,247025,12724,2916,231385,42.3154,43.3569,1610821334000
53,Ecuador,230808,22911,14316,193581,-1.8312,-78.1834,1610821334000
11,Azerbaijan,226951,9530,2998,214423,40.1431,47.5769,1610821334000
44,Croatia,224575,4711,4588,215276,45.1,15.2,1610821334000
16,Belarus,223537,15288,1573,206676,53.7098,27.9534,1610821334000
156,Slovakia,222752,52780,3417,166555,48.669,19.699,1610821334000
90,Kazakhstan,213855,24113,2883,186859,48.0196,66.9237,1610821334000
26,Bulgaria,211503,47016,8457,156030,42.7339,25.4858,1610821334000
52,Dominican Republic,191339,46877,2432,142030,18.7357,-70.1627,1610821334000
48,Denmark,188877,20107,1748,167022,56.2639,9.5018,1610821334000
42,Costa Rica,184187,40397,2416,141374,9.7489,-83.7534,1610821334000
21,Bolivia,183589,31739,9571,142279,-16.2902,-63.5887,1610821334000
176,Tunisia,175065,43902,5528,125635,33.886917,9.537499,1610821334000
84,Ireland,169780,143821,2595,23364,53.1424,-7.6921,1610821334000
103,Lithuania,166680,60219,2414,104047,55.1694,23.8813,1610821334000
8,Armenia,164235,8633,2987,152615,40.0691,45.0382,1610821334000
94,Kuwait,157399,5774,947,150678,29.31166,47.481766,1610821334000
108,Malaysia,155095,37126,594,117375,4.210484,101.975766,1610821334000
54,Egypt,154620,24355,8473,121792,26.820553,30.802498,1610821334000
116,Moldova,152640,6726,3245,142669,47.4116,28.3699,1610821334000
188,West Bank and Gaza,151569,11374,1700,138495,31.9522,35.2332,1610821334000
71,Guatemala,148598,9590,5220,133788,15.7835,-90.2308,1610821334000
157,Slovenia,148556,24128,3140,121288,46.1512,14.9955,1610821334000
69,Greece,148370,49165,5441,93764,39.0742,21.8243,1610821334000
140,Qatar,147089,3231,246,143612,25.3548,51.1839,1610821334000
28,Burma,133869,13846,2942,117081,21.9162,95.956,1610821334000
77,Honduras,132412,69012,3344,60056,15.2,-86.2419,1610821334000
131,Oman,131264,6162,1509,123593,21.512583,55.923255,1610821334000
60,Ethiopia,130326,12875,2023,115428,9.145,40.4897,1610821334000
135,Paraguay,120789,22495,2479,95815,-23.4425,-58.4438,1610821334000
186,Venezuela,118856,5441,1095,112320,6.4238,-66.5897,1610821334000
22,Bosnia and Herzegovina,117011,27950,4411,84650,43.9159,17.6791,1610821334000
101,Libya,108017,21298,1651,85068,26.3351,17.228331,1610821334000
128,Nigeria,107345,21397,1413,84535,9.082,8.6753,1610821334000
3,Algeria,103381,30366,2827,70188,28.0339,1.6596,1610821334000
91,Kenya,99082,14030,1728,83324,-0.0236,37.9062,1610821334000
37,China,97616,1720,4796,91100,30.5928,114.3055,1610821334000
13,Bahrain,97020,2937,357,93726,26.0275,50.55,1610821334000
129,North Macedonia,88749,14461,2696,71592,41.6086,21.7453,1610821334000
95,Kyrgyzstan,82986,2738,1382,78866,41.20438,74.766098,1610821334000
184,Uzbekistan,77904,897,619,76388,41.377491,64.585262,1610821334000
92,"Korea, South",71820,13030,1236,57554,35.907757,127.766922,1610821334000
2,Albania,67216,25856,1270,40090,41.1533,20.1683,1610821334000
155,Singapore,59083,270,29,58784,1.2833,103.8333,1610821334000
130,Norway,58317,39802,517,17998,60.472,8.4689,1610821334000
68,Ghana,56981,1404,341,55236,7.9465,-1.0232,1610821334000
119,Montenegro,55136,9537,743,44856,42.708678,19.37439,1610821334000
93,Kosovo,55135,5162,1399,48574,42.602636,20.902977,1610821334000
97,Latvia,55097,12875,961,41261,56.8796,24.6032,1610821334000
1,Afghanistan,53938,6137,2336,45465,33.93911,67.709953,1610821334000
163,Sri Lanka,51937,6936,255,44746,7.873054,80.771797,1610821334000
55,El Salvador,50157,4374,1479,44304,13.7942,-88.8965,1610821334000
104,Luxembourg,48630,2427,549,45654,49.8153,6.1296,1610821334000
62,Finland,40101,8483,618,31000,61.9241,25.7482,1610821334000
179,Uganda,38085,24698,304,13083,1.373333,32.290275,1610821334000
58,Estonia,36691,10146,320,26225,58.5953,25.0136,1610821334000
190,Zambia,36074,10431,537,25106,-13.133897,27.849332,1610821334000
183,Uruguay,30946,8232,291,22423,-32.5228,-55.7658,1610821334000
122,Namibia,29889,3355,280,26254,-22.9576,18.4904,1610821334000
9,Australia,28689,1878,909,25902,-25.0,133.0,1610821334000
46,Cyprus,28609,26386,166,2057,35.1264,33.4299,1610821334000
32,Cameroon,27336,1993,451,24892,3.848,11.5021,1610821334000
191,Zimbabwe,26109,10029,666,15414,-19.015438,29.154857,1610821334000
164,Sudan,25730,8914,1576,15240,12.8628,30.2176,1610821334000
121,Mozambique,25004,6417,216,18371,-18.665695,35.529562,1610821334000
43,Cote d'Ivoire,24856,1611,141,23104,7.54,-5.5471,1610821334000
151,Senegal,22738,3177,509,19052,14.4974,-14.4524,1610821334000
41,Congo (Kinshasa),20693,5259,630,14804,-4.0383,21.7587,1610821334000
5,Angola,18679,2131,428,16120,-11.2027,17.8739,1610821334000
106,Madagascar,18001,287,267,17447,-18.766947,46.869107,1610821334000
45,Cuba,17501,4155,166,13180,21.521757,-77.781167,1610821334000
23,Botswana,17365,3775,71,13519,-22.3285,24.6849,1610821334000
113,Mauritania,15963,1245,400,14318,21.0079,-10.9408,1610821334000
111,Malta,15447,2749,238,12460,35.9375,14.3754,1610821334000
109,Maldives,14375,852,49,13474,3.2028,73.2207,1610821334000
72,Guinea,14098,697,81,13320,9.9456,-9.6966,1610821334000
87,Jamaica,14096,2099,323,11674,18.1096,-77.2975,1610821334000
170,Tajikistan,13308,0,90,13218,38.861,71.2761,1610821334000
168,Syria,12850,5628,817,6405,34.802075,38.996815,1610821334000
30,Cabo Verde,12776,604,118,12054,16.5388,-23.0418,1610821334000
59,Eswatini,12532,4113,343,8076,-26.5225,31.4659,1610821334000
172,Thailand,11680,2704,70,8906,15.870032,100.992541,1610821334000
18,Belize,11529,598,281,10650,17.1899,-88.4976,1610821334000
107,Malawi,11223,4958,291,5974,-13.2543,34.3015,1610821334000
75,Haiti,10635,1494,238,8903,18.9712,-72.2852,1610821334000
143,Rwanda,10573,3407,138,7028,-1.9403,29.8739,1610821334000
64,Gabon,9899,175,66,9658,-0.8037,11.6094,1610821334000
4,Andorra,8946,742,88,8116,42.5063,1.5218,1610821334000
27,Burkina Faso,8882,1758,97,7027,12.2383,-1.5616,1610821334000
12,Bahamas,8032,1332,175,6525,25.025885,-78.035889,1610821334000
110,Mali,7800,2014,308,5478,17.570692,-3.996166,1610821334000
40,Congo (Brazzaville),7709,1749,114,5846,-0.228,15.8277,1610821334000
165,Suriname,7409,649,139,6621,3.9193,-56.0278,1610821334000
175,Trinidad and Tobago,7343,300,130,6913,10.6918,-61.2225,1610821334000
74,Guyana,6805,552,170,6083,4.860416,-58.93018,1610821334000
99,Lesotho,6371,4643,93,1635,-29.61,28.2336,1610821334000
126,Nicaragua,6152,1760,167,4225,12.865416,-85.207229,1610821334000
79,Iceland,5956,160,29,5767,64.9631,-19.0208,1610821334000
50,Djibouti,5903,26,61,5816,11.8251,42.5903,1610821334000
56,Equatorial Guinea,5356,81,86,5189,1.6508,10.2679,1610821334000
34,Central African Republic,4973,25,63,4885,6.6111,20.9394,1610821334000
159,Somalia,4744,948,130,3666,5.152149,46.199616,1610821334000
174,Togo,4220,416,73,3731,8.6195,0.8248,1610821334000
127,Niger,4105,1105,138,2862,17.607789,8.081666,1610821334000
65,Gambia,3897,81,127,3689,13.4432,-15.3101,1610821334000
161,South Sudan,3670,426,63,3181,6.877,31.307,1610821334000
19,Benin,3413,122,46,3245,9.3077,2.3158,1610821334000
154,Sierra Leone,2959,857,77,2025,8.460555,-11.779889,1610821334000
35,Chad,2807,616,111,2080,15.4542,18.7322,1610821334000
148,San Marino,2767,272,65,2430,43.9424,12.4578,1610821334000
73,Guinea-Bissau,2478,33,45,2400,11.8037,-15.1804,1610821334000
102,Liechtenstein,2383,70,49,2264,47.14,9.55,1610821334000
125,New Zealand,2246,76,25,2145,-40.9006,174.886,1610821334000
189,Yemen,2111,80,612,1419,15.552727,48.516388,1610821334000
100,Liberia,1882,97,84,1701,6.428055,-9.429499,1610821334000
57,Eritrea,1877,798,6,1073,15.1794,39.7823,1610821334000
39,Comoros,1577,467,41,1069,-11.6455,43.3333,1610821334000
187,Vietnam,1537,122,35,1380,14.058324,108.277199,1610821334000
118,Mongolia,1512,601,2,909,46.8625,103.8467,1610821334000
117,Monaco,1169,200,7,962,43.7333,7.4167,1610821334000
29,Burundi,1150,375,2,773,-3.3731,29.9189,1610821334000
149,Sao Tome and Principe,1130,120,17,993,0.1864,6.6131,1610821334000
15,Barbados,1036,536,7,493,13.1939,-59.5432,1610821334000
169,Taiwan*,843,95,7,741,23.7,121.0,1610821334000
20,Bhutan,842,288,1,553,27.5142,90.4336,1610821334000
134,Papua New Guinea,834,70,9,755,-6.314993,143.95555,1610821334000
49,Diamond Princess,712,0,13,699,,,1610821334000
153,Seychelles,656,169,1,460,-4.6796,55.492,1610821334000
145,Saint Lucia,576,241,6,329,13.9094,-60.9789,1610821334000
114,Mauritius,547,21,10,516,-20.348404,57.552152,1610821334000
171,Tanzania,509,305,21,183,-6.369028,34.888822,1610821334000
146,Saint Vincent and the Grenadines,450,339,1,110,12.9843,-61.2872,1610821334000
31,Cambodia,436,54,0,382,11.55,104.9167,1610821334000
6,Antigua and Barbuda,187,25,6,156,17.0608,-61.7964,1610821334000
25,Brunei,174,3,3,168,4.5353,114.7277,1610821334000
70,Grenada,139,9,1,129,12.1165,-61.679,1610821334000
51,Dominica,109,8,0,101,15.415,-61.371,1610821334000
61,Fiji,53,4,2,47,-17.7134,178.065,1610821334000
173,Timor-Leste,52,3,0,49,-8.874217,125.727539,1610821334000
96,Laos,41,0,0,41,19.85627,102.495496,1610821334000
144,Saint Kitts and Nevis,34,2,0,32,17.357822,-62.782998,1610821334000
76,Holy See,27,12,0,15,41.9029,12.4534,1610821334000
158,Solomon Islands,17,7,0,10,-9.6457,160.1562,1610821334000
105,MS Zaandam,9,0,2,7,,,1610821334000
112,Marshall Islands,4,0,0,4,7.1315,171.1845,1610821334000
147,Samoa,2,0,0,2,-13.759,-172.1046,1610821334000
185,Vanuatu,1,0,0,1,-15.3767,166.9592,1610821334000
